timestamp,ip,user,attempts,status,hour,minute,ip_encoded,user_encoded,attempts_per_minute,time_diff,is_attack
2025-05-04 17:00:27,127.0.0.1,testuser,126,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,127,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,128,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,129,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,130,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,131,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,132,failed,17,0,0,3,18,0.0,1
2025-05-04 17:00:27,127.0.0.1,testuser,122,failed,17,0,0,3,18,0.0,1
2025-05-04 17:02:14,127.0.0.1,testuser,1,success,17,2,0,3,18,107.0,0
2025-05-04 17:04:13,127.0.0.1,testuser,1,success,17,4,0,3,18,119.0,0
2025-05-04 17:04:27,127.0.0.1,testuser,1,success,17,4,0,3,18,14.0,0
2025-05-04 17:05:56,127.0.0.1,user2,135,failed,17,5,0,5,40,89.0,0
2025-05-04 17:05:56,127.0.0.1,user2,133,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,141,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,140,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,139,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,138,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,144,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,145,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,142,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,137,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,136,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,134,failed,17,5,0,5,40,0.0,1
2025-05-04 17:05:56,127.0.0.1,user2,143,failed,17,5,0,5,40,0.0,1
2025-05-04 17:06:00,127.0.0.1,user2,146,failed,17,6,0,5,40,4.0,1
2025-05-04 17:07:03,127.0.0.1,testuser,1,success,17,7,0,3,18,63.0,0
